id_cliente,ano_nascimento,nivel_educacao,estado_civil,criancas_ate_dez_anos,criancas_mais_dez_anos,data_entrada,resposta_campanha,renda_anual,idade,ultima_transancao,total_vinho,total_frutas,total_carnes,total_peixes,total_doces,total_outros,total_compras,data_transacao,lugar_transacao,,frequencia
1966,1965,Posgrado,Casado,0,0,2021-11-22,0,84618,59,10/12/2022,684,100,801,21,66,0,1672,44522,en línea,,16
6864,1989,Posgrado,Divorciado,0,0,2022-05-22,0,10979,35,5/11/2022,8,4,10,2,2,4,30,44703,en línea,,6
3033,1963,Posgrado,Unión de hecho,0,0,2021-05-11,0,38620,61,20/10/2021,112,17,44,34,22,89,318,44327,en línea,,5
5710,1970,Grado o superior,Unión de hecho,0,1,2020-10-10,0,40548,54,18/11/2021,110,0,5,2,0,3,120,44114,en línea,,6
7373,1952,Posgrado,Divorciado,0,2,2020-10-29,1,46610,72,11/2/2022,96,12,96,33,22,43,302,44133,en línea,,10
8755,1946,Posgrado,Casado,0,0,2021-02-20,0,68657,78,8/6/2022,482,34,471,119,68,22,1196,44247,en línea,,12
10738,1951,Posgrado,Soltero,1,1,2021-08-29,0,49389,73,23/2/2022,40,0,19,2,1,3,65,44437,en línea,,5
4339,1970,Posgrado,Casado,0,1,2021-12-31,0,67353,54,11/12/2022,702,17,151,0,8,35,913,44561,en línea,,17
10755,1976,Secundaria,Casado,1,0,2021-09-02,0,23718,48,26/3/2022,6,3,14,15,7,36,81,44441,en línea,,5
8595,1973,Grado o superior,Viuda/Viudo,0,1,2022-02-11,0,42429,51,2/10/2022,55,0,6,2,0,4,67,44603,en línea,,4
2968,1943,Posgrado,Divorciado,0,0,2021-02-01,1,48948,81,8/10/2022,437,8,206,160,49,42,902,44228,en línea,,12
8601,1980,Grado o superior,Casado,0,1,2021-04-29,0,80011,44,14/10/2022,421,76,536,82,178,102,1395,44315,en línea,,13
503,1985,Posgrado,Casado,1,0,2021-03-12,0,20559,39,24/12/2021,13,1,29,3,0,7,53,44267,en línea,,5
8430,1957,Grado o superior,Unión de hecho,0,1,2020-12-24,0,21994,67,5/7/2022,9,0,6,3,1,3,22,44189,tienda,,3
7281,1959,Posgrado,Soltero,0,0,2021-11-05,0,52247,65,19/12/2022,81,11,50,3,2,39,186,44505,en línea,,5
2139,1975,Posgrado,Casado,1,0,2021-10-02,0,7500,49,26/8/2022,3,1,10,3,2,12,31,44471,en línea,,5
1371,1976,Grado o superior,Soltero,0,0,2022-06-28,0,79941,48,10/12/2022,123,164,266,227,30,174,984,44740,en línea,,11
9909,1996,Secundaria,Casado,0,0,2020-11-09,1,7500,28,29/6/2022,3,18,14,15,22,50,122,44144,en línea,,6
7286,1968,Grado o superior,Unión de hecho,1,0,2021-05-24,0,41728,56,31/1/2022,13,6,15,3,5,13,55,44340,en línea,,4
7244,1951,Grado o superior,Soltero,2,1,2022-01-01,0,52247,73,11/11/2022,48,5,48,6,10,7,124,44562,en línea,,6
6566,1954,Posgrado,Casado,1,1,2020-11-08,0,72550,70,5/6/2022,826,50,317,50,38,38,1319,44143,en línea,,17
8614,1957,Grado o superior,Viuda/Viudo,0,1,2022-05-12,0,65486,67,19/12/2022,245,19,125,37,67,14,507,44693,en línea,,14
4114,1964,Posgrado,Casado,0,0,2020-08-11,0,79143,60,23/10/2022,650,37,780,27,167,32,1693,44054,en línea,,19
1331,1977,Grado o superior,Soltero,1,0,2021-01-02,0,35790,47,29/11/2022,12,6,20,30,1,3,72,44198,en línea,,5
2225,1977,Grado o superior,Divorciado,0,0,2022-06-07,1,82582,47,31/12/2022,510,120,550,156,40,241,1617,44719,en línea,,11
9381,1978,Grado o superior,Casado,1,1,2021-06-12,0,66373,46,27/5/2022,328,9,124,12,24,109,606,44359,en línea,,14
6260,1955,Posgrado,Unión de hecho,0,0,2020-11-19,1,82384,69,7/5/2022,984,51,432,180,120,190,1957,44154,en línea,,16
10383,1966,Grado o superior,Divorciado,0,0,2021-04-02,1,70287,58,18/8/2022,295,35,482,121,120,40,1093,44288,en línea,,15
7437,1988,Grado o superior,Soltero,1,0,2022-04-28,0,27938,36,13/10/2022,13,0,8,2,1,5,29,44679,en línea,,5
8557,1982,Grado o superior,Soltero,1,0,2021-06-17,0,52247,42,21/11/2022,11,3,22,2,2,6,46,44364,en línea,,5
8375,1968,Posgrado,Casado,0,1,2022-03-03,0,55954,56,17/9/2022,447,0,28,0,0,43,518,44623,en línea,,14
6853,1982,Posgrado,Soltero,0,0,2021-07-04,1,75777,42,27/8/2022,712,26,538,69,13,80,1438,44381,en línea,,14
3076,1975,Grado o superior,Unión de hecho,1,1,2020-09-07,0,66653,49,22/7/2022,452,18,102,16,18,6,612,44081,en línea,,16
1012,1952,Grado o superior,Soltero,0,1,2021-02-18,0,61823,72,24/3/2022,523,7,134,37,14,169,884,44245,en línea,,18
6518,1951,Posgrado,Viuda/Viudo,0,1,2021-06-11,0,67680,73,6/9/2022,546,0,48,0,6,6,606,44358,en línea,,15
4137,1948,Grado o superior,Unión de hecho,0,0,2021-12-06,0,70666,76,17/12/2022,398,40,367,119,122,30,1076,44536,en línea,,11
8082,1971,Grado o superior,Casado,1,0,2021-05-21,1,25721,53,17/7/2021,1,3,6,3,6,15,34,44337,en línea,,3
1386,1967,Grado o superior,Unión de hecho,1,1,2022-05-11,0,32474,57,25/5/2022,10,0,1,0,0,0,11,44692,en línea,,3
9369,1979,Secundaria,Soltero,0,1,2022-03-19,1,88194,45,27/12/2022,688,14,309,201,24,38,1274,44639,en línea,,21
4477,1958,Grado o superior,Unión de hecho,0,1,2021-09-27,0,69096,66,16/9/2022,247,49,159,7,82,109,653,44466,en línea,,15
1357,1970,Grado o superior,Unión de hecho,1,2,2021-04-08,0,74854,54,21/1/2022,856,59,487,58,29,73,1562,44294,en línea,,7
1402,1954,Posgrado,Casado,0,0,2020-09-11,0,66991,70,16/7/2022,496,36,460,189,60,12,1253,44085,en línea,,10
10629,1973,Secundaria,Casado,1,0,2020-09-14,0,52247,51,6/10/2021,25,3,43,17,4,17,109,44088,en línea,,6
6312,1959,Grado o superior,Casado,0,1,2021-03-17,0,65031,65,4/11/2022,258,107,291,84,37,86,863,44272,en línea,,23
8132,1975,Posgrado,Casado,1,1,2021-04-05,0,60631,49,13/8/2022,565,6,65,0,6,19,661,44291,en línea,,17
1050,1952,Grado o superior,Casado,0,0,2022-04-30,0,28332,72,15/11/2022,14,10,13,4,15,9,65,44681,en línea,,6
5846,1977,Grado o superior,Divorciado,1,0,2020-12-19,0,40246,47,3/2/2021,2,1,6,2,1,1,13,44184,en línea,,3
1859,1972,Posgrado,Casado,0,0,2020-08-27,1,75251,52,5/10/2022,721,111,925,97,18,18,1890,44070,en línea,,12
7503,1976,Grado o superior,Soltero,0,0,2020-10-12,1,75825,48,18/6/2022,1032,105,779,137,105,51,2209,44116,en línea,,14
10401,1976,Secundaria,Unión de hecho,0,0,2021-09-04,0,26326,48,16/4/2022,1,0,5,0,3,9,18,44443,tienda,,3
1618,1965,Grado o superior,Unión de hecho,0,0,2021-01-02,1,56046,59,7/8/2022,577,0,64,0,0,51,692,44198,en línea,,18
3332,1985,Grado o superior,Soltero,1,0,2020-08-29,0,29760,39,25/6/2022,64,4,68,7,5,17,165,44072,en línea,,7
2261,1969,Grado o superior,Casado,1,0,2021-06-23,0,26304,55,22/7/2021,4,1,5,2,0,4,16,44370,en línea,,3
5346,1973,Secundaria,Casado,1,0,2021-07-03,0,23559,51,16/8/2022,25,5,19,7,0,23,79,44380,en línea,,6
4119,1963,Posgrado,Unión de hecho,0,0,2021-05-11,0,38620,61,22/3/2022,112,17,44,34,22,89,318,44327,en línea,,5
535,1987,Grado o superior,Divorciado,0,0,2022-02-25,0,81361,37,7/11/2022,163,23,424,27,65,76,778,44617,en línea,,16
5268,1960,Grado o superior,Casado,1,1,2021-08-11,0,29440,64,6/8/2022,17,8,14,10,4,3,56,44419,en línea,,5
273,1970,Posgrado,Casado,1,1,2021-07-16,0,36138,54,17/8/2022,130,0,16,0,0,5,151,44393,en línea,,7
4452,1957,Grado o superior,Soltero,0,1,2022-05-28,1,50388,67,23/10/2022,292,6,37,0,3,34,372,44709,en línea,,12
8504,1973,Grado o superior,Casado,0,0,2022-05-12,0,79593,51,14/10/2022,350,60,568,110,133,145,1366,44693,en línea,,12
771,1967,Grado o superior,Unión de hecho,0,1,2022-01-21,0,54178,57,25/12/2022,135,9,39,4,0,7,194,44582,en línea,,7
8996,1957,Posgrado,Casado,2,1,2020-11-19,0,52247,67,17/7/2022,230,42,192,49,37,53,603,44154,en línea,,15
9235,1957,Grado o superior,Soltero,1,1,2022-05-27,0,52247,67,24/9/2022,7,0,8,2,0,1,18,44708,en línea,,3
5798,1973,Posgrado,Unión de hecho,0,0,2021-11-23,0,52247,51,20/11/2022,445,37,359,98,28,18,985,44523,en línea,,10
11178,1972,Posgrado,Soltero,1,0,2022-03-23,0,42394,52,4/8/2022,15,2,10,0,1,4,32,44643,en línea,,4
2230,1970,Posgrado,Casado,1,0,2022-05-24,0,23626,54,26/11/2022,27,2,14,0,0,0,43,44705,en línea,,6
7516,1983,Grado o superior,Casado,1,0,2022-05-22,0,30096,41,9/9/2022,5,3,11,12,5,9,45,44703,en línea,,5
7247,1960,Grado o superior,Viuda/Viudo,0,1,2020-11-22,0,47916,64,1/6/2022,505,0,26,0,0,75,606,44157,en línea,,13
11100,1972,Grado o superior,Divorciado,1,1,2021-04-11,0,51813,52,8/6/2022,51,2,7,0,1,2,63,44297,en línea,,5
4646,1951,Secundaria,Casado,0,0,2021-12-01,0,78497,73,4/11/2022,207,26,447,75,0,223,978,44531,en línea,,17
3037,1983,Posgrado,Casado,0,0,2021-06-20,0,50150,41,23/3/2022,135,46,92,65,61,11,410,44367,en línea,,12
1473,1960,Secundaria,Soltero,0,1,2021-07-23,0,47823,64,4/7/2022,53,1,5,2,1,10,72,44400,en línea,,5
1016,1959,Posgrado,Soltero,0,1,2022-03-30,0,34554,65,2/11/2022,41,1,6,2,0,5,55,44650,en línea,,5
4518,1979,Grado o superior,Unión de hecho,0,1,2021-04-20,0,85693,45,23/6/2022,386,172,183,185,132,111,1169,44306,en línea,,20
9370,1945,Posgrado,Casado,0,0,2021-05-17,0,65846,79,16/10/2022,562,81,276,80,40,81,1120,44333,en línea,,12
8908,1959,Grado o superior,Casado,0,0,2022-05-08,1,87195,65,12/11/2022,217,76,690,50,26,38,1097,44689,en línea,,8
8373,1979,Secundaria,Unión de hecho,1,0,2021-12-10,0,24594,45,30/12/2022,1,3,6,10,0,9,29,44540,en línea,,4
7533,1964,Grado o superior,Casado,1,1,2021-09-24,0,49096,60,12/9/2022,144,1,32,2,1,7,187,44463,en línea,,8
2683,1969,Grado o superior,Casado,0,2,2021-02-02,0,52413,55,31/5/2022,295,106,271,75,98,65,910,44229,en línea,,18
3629,1978,Grado o superior,Soltero,1,0,2020-12-19,0,38557,46,8/1/2022,76,3,31,4,4,27,145,44184,en línea,,6
10991,1960,Posgrado,Casado,0,0,2020-12-07,0,89058,64,11/5/2022,454,194,106,31,22,43,850,44172,en línea,,9
5077,1979,Grado o superior,Unión de hecho,0,1,2021-11-02,0,77298,45,6/12/2022,425,115,292,23,35,79,969,44502,en línea,,17
7431,1991,Posgrado,Soltero,0,0,2020-11-10,1,68126,33,12/5/2022,1332,17,311,23,51,86,1820,44145,en línea,,12
3267,1963,Posgrado,Unión de hecho,0,1,2022-06-25,0,57288,61,29/12/2022,527,0,21,0,0,60,608,44737,en línea,,16
999,1991,Grado o superior,Soltero,0,0,2021-01-02,1,86037,33,31/8/2022,490,44,125,29,20,22,730,44198,en línea,,17
9215,1980,Posgrado,Casado,1,0,2020-12-12,0,43974,44,2/9/2022,378,0,101,0,0,72,551,44177,en línea,,12
2286,1962,Grado o superior,Soltero,1,1,2021-09-10,0,50785,62,21/10/2022,64,1,21,0,1,27,114,44449,en línea,,5
1592,1970,Grado o superior,Casado,0,0,2022-01-24,0,90765,54,1/12/2022,547,99,812,151,82,33,1724,44585,en línea,,9
367,1978,Secundaria,Casado,1,0,2021-02-19,0,36550,46,23/11/2022,47,90,94,123,103,120,577,44246,en línea,,14
5234,1967,Secundaria,Unión de hecho,1,1,2021-07-11,0,30753,57,15/7/2022,12,5,25,0,9,30,81,44388,en línea,,4
9862,1969,Grado o superior,Unión de hecho,1,0,2021-11-14,0,21918,55,10/8/2022,1,6,7,11,5,3,33,44514,en línea,,5
9805,1953,Posgrado,Unión de hecho,0,1,2021-06-20,0,56129,71,12/9/2022,320,48,133,39,72,48,660,44367,en línea,,16
6205,1967,Posgrado,Soltero,1,0,2022-02-24,1,32557,57,20/10/2022,34,3,29,0,4,10,80,44616,en línea,,5
8442,1985,Posgrado,Casado,2,0,2021-09-04,0,19510,39,6/10/2022,9,0,7,3,4,7,30,44443,en línea,,4
7386,1976,Grado o superior,Divorciado,1,0,2021-04-22,0,30992,48,21/8/2022,17,0,14,7,3,2,43,44308,en línea,,4
7215,1983,Grado o superior,Soltero,0,0,2021-03-12,1,101970,41,28/5/2022,722,27,102,44,72,168,1135,44267,en línea,,19
1491,1965,Secundaria,Unión de hecho,0,0,2021-02-18,0,71488,59,10/9/2022,162,33,124,40,28,172,559,44245,en línea,,10
11071,1984,Grado o superior,Soltero,0,0,2021-04-21,1,79607,40,27/12/2021,450,133,951,173,0,216,1923,44307,en línea,,9
3381,1953,Posgrado,Casado,1,1,2022-06-08,0,54348,71,18/9/2022,70,0,16,0,0,4,90,44720,en línea,,6
8268,1961,Posgrado,Casado,0,1,2021-07-11,0,52247,63,17/5/2022,352,0,27,10,0,15,404,44388,en línea,,13
11051,1956,Posgrado,Unión de hecho,1,1,2022-05-10,0,77376,68,7/12/2022,492,19,110,16,12,12,661,44691,en línea,,16
8026,1952,Grado o superior,Casado,0,1,2021-09-30,0,62998,72,27/9/2022,120,58,73,65,89,58,463,44469,en línea,,10
433,1958,Posgrado,Soltero,1,1,2021-03-10,0,61331,66,20/12/2021,534,5,47,0,5,41,632,44265,en línea,,17
9597,1969,Grado o superior,Casado,0,0,2022-02-10,0,73448,55,7/12/2022,236,106,189,23,41,130,725,44602,en línea,,16
1295,1963,Grado o superior,Casado,0,1,2021-08-11,0,52247,61,27/5/2022,231,65,196,38,71,124,725,44419,en línea,,13
5290,1964,Posgrado,Casado,1,1,2021-08-14,0,41551,60,9/8/2022,220,0,33,3,0,23,279,44422,en línea,,10
1685,1967,Posgrado,Unión de hecho,0,0,2021-03-17,0,62981,57,22/10/2022,796,14,590,38,44,0,1482,44272,en línea,,17
5342,1976,Secundaria,Divorciado,1,0,2020-08-08,0,9548,48,19/6/2021,0,1,3,10,6,9,29,44051,en línea,,4
9579,1959,Posgrado,Casado,2,1,2021-07-07,0,33762,65,10/9/2021,53,1,34,2,0,16,106,44384,en línea,,4
7660,1973,Posgrado,Soltero,1,1,2022-05-19,1,35860,51,29/10/2022,15,0,8,4,2,20,49,44700,en línea,,3
1461,1965,Posgrado,Divorciado,1,1,2021-07-28,0,36921,59,20/3/2022,17,1,12,3,1,4,38,44405,en línea,,5
821,1992,Posgrado,Soltero,0,0,2020-10-19,0,92859,32,2/2/2022,962,61,921,52,61,20,2077,44123,en línea,,17
11084,1976,Posgrado,Unión de hecho,0,1,2021-11-14,1,65104,48,24/12/2022,738,0,232,13,20,50,1053,44514,en línea,,10
8690,1962,Grado o superior,Casado,0,0,2021-04-19,0,86111,62,27/10/2022,399,28,756,36,40,126,1385,44305,en línea,,15
2937,1974,Posgrado,Soltero,0,1,2021-08-28,0,68352,50,4/11/2022,614,16,132,43,33,33,871,44436,en línea,,17
9701,1988,Grado o superior,Unión de hecho,1,0,2021-03-19,0,41883,36,30/3/2022,32,34,41,73,16,116,312,44274,en línea,,7
9949,1976,Grado o superior,Casado,0,2,2020-10-18,0,59809,48,19/9/2022,598,16,141,32,41,49,877,44122,en línea,,9
10837,1975,Grado o superior,Casado,1,0,2020-10-28,1,23957,49,13/5/2022,2,1,18,20,11,16,68,44132,en línea,,5
3120,1981,Grado o superior,Unión de hecho,1,0,2021-08-28,0,38547,43,15/11/2021,6,1,10,0,1,4,22,44436,en línea,,3
5885,1973,Secundaria,Casado,2,1,2020-08-22,0,35688,51,2/12/2021,73,3,90,12,1,32,211,44065,en línea,,8
4050,1966,Posgrado,Casado,0,0,2022-06-21,0,49605,58,23/12/2022,42,16,29,12,20,8,127,44733,en línea,,6
3830,1953,Posgrado,Casado,0,2,2022-04-24,0,59354,71,23/12/2022,295,21,78,39,13,13,459,44675,en línea,,11
7987,1969,Grado o superior,Casado,0,1,2022-03-07,0,65747,55,31/12/2022,346,17,48,23,13,13,460,44627,en línea,,14
7798,1972,Secundaria,Unión de hecho,0,1,2020-12-14,0,46344,52,22/8/2022,233,20,57,8,20,91,429,44179,en línea,,12
92,1988,Grado o superior,Soltero,1,0,2022-05-12,0,34176,36,6/12/2022,5,7,24,19,14,20,89,44693,en línea,,7
7055,1952,Posgrado,Unión de hecho,0,1,2020-10-09,0,61010,72,19/6/2022,888,0,57,0,0,76,1021,44113,en línea,,19
10240,1949,Grado o superior,Unión de hecho,0,0,2021-02-19,1,69372,75,8/11/2022,997,26,269,34,13,42,1381,44246,en línea,,16
3025,1958,Grado o superior,Soltero,0,1,2021-07-08,0,49967,66,10/3/2022,212,6,69,4,12,3,306,44385,en línea,,11
9283,1978,Grado o superior,Soltero,1,2,2021-09-12,0,60199,46,16/3/2022,8,1,7,2,0,0,18,44451,tienda,,3
9970,1977,Grado o superior,Unión de hecho,0,1,2021-10-17,0,55375,47,27/11/2022,42,11,57,10,28,14,162,44486,en línea,,7
2730,1955,Grado o superior,Soltero,0,0,2021-08-20,0,80317,69,15/6/2022,536,11,387,149,91,57,1231,44428,en línea,,13
2795,1958,Posgrado,Soltero,2,1,2021-07-01,0,30523,66,9/3/2022,5,0,3,0,0,5,13,44378,en línea,,3
9260,1945,Posgrado,Casado,0,0,2020-11-05,0,70356,79,1/11/2022,1349,16,249,43,16,33,1706,44140,en línea,,19
8182,1984,Grado o superior,Casado,1,0,2022-01-05,0,23228,40,8/11/2022,53,3,49,7,4,5,121,44566,en línea,,7
10095,1975,Posgrado,Divorciado,0,0,2021-05-01,0,74165,49,16/10/2022,1001,12,240,16,12,12,1293,44317,en línea,,15
8475,1973,Posgrado,Casado,0,1,2022-03-01,0,157243,51,,20,2,1582,1,2,1,1608,,,,0
4370,1966,Grado o superior,Unión de hecho,2,1,2021-11-13,0,43482,58,25/8/2022,18,1,32,6,3,28,88,44513,en línea,,6
10573,1953,Grado o superior,Divorciado,0,0,2021-11-18,0,62551,71,8/12/2022,125,16,98,134,21,27,421,44518,en línea,,10
3712,1959,Grado o superior,Divorciado,0,0,2021-08-28,0,52332,65,1/3/2022,212,5,33,7,0,2,259,44436,en línea,,9
6637,1988,Grado o superior,Soltero,0,0,2021-11-02,0,66951,36,24/12/2022,277,162,305,173,76,124,1117,44502,en línea,,10
3152,1957,Grado o superior,Unión de hecho,1,1,2022-02-25,0,26091,67,28/11/2022,15,10,19,8,17,20,89,44617,en línea,,5
5610,1965,Grado o superior,Unión de hecho,1,1,2022-04-21,0,33456,59,7/11/2022,7,3,10,8,1,7,36,44672,en línea,,4
6460,1982,Grado o superior,Casado,1,0,2021-07-13,0,28718,42,11/4/2022,12,4,6,11,8,16,57,44390,en línea,,5
1349,1970,Grado o superior,Casado,2,0,2022-04-21,0,50447,54,21/11/2022,85,7,24,2,3,27,148,44672,en línea,,6
1880,1959,Posgrado,Unión de hecho,1,1,2022-01-30,0,53537,65,25/11/2022,81,0,6,0,0,6,93,44591,en línea,,5
641,1967,Grado o superior,Soltero,0,1,2022-04-04,0,52074,57,19/10/2022,59,0,12,0,0,48,119,44655,en línea,,4
8717,1975,Posgrado,Casado,0,1,2020-09-12,0,80427,49,20/9/2022,1149,71,449,69,71,26,1835,44086,en línea,,19
10314,1948,Posgrado,Casado,0,0,2020-12-16,1,83837,76,8/8/2022,847,66,119,86,89,111,1318,44181,en línea,,14
10854,1970,Posgrado,Casado,1,1,2022-05-23,0,38853,54,10/12/2022,29,0,14,0,0,2,45,44704,en línea,,5
10492,1959,Grado o superior,Unión de hecho,2,1,2022-06-24,0,38285,65,1/11/2022,2,0,5,2,0,1,10,44736,tienda,,3
6935,1951,Secundaria,Casado,0,0,2021-12-01,0,78497,73,12/12/2022,207,26,447,75,0,223,978,44531,en línea,,17
7698,1976,Posgrado,Casado,0,1,2022-05-11,0,51650,48,2/12/2022,152,3,22,2,5,7,191,44692,en línea,,8
3559,1988,Secundaria,Casado,1,0,2022-05-10,0,16248,36,25/8/2022,12,11,10,3,12,9,57,44691,en línea,,5
10562,1946,Posgrado,Casado,0,0,2021-09-28,0,66835,78,14/11/2022,620,26,195,34,17,141,1033,44467,en línea,,19
10796,1984,Posgrado,Casado,1,0,2022-01-22,0,30477,40,7/11/2022,47,1,6,0,0,12,66,44583,en línea,,4
2563,1961,Secundaria,Casado,0,0,2022-06-15,0,28249,63,1/8/2022,1,9,7,2,14,10,43,44727,en línea,,5
3518,1983,Grado o superior,Casado,1,0,2020-12-05,0,25271,41,27/4/2021,10,1,18,10,4,7,50,44170,en línea,,3
5823,1970,Posgrado,Soltero,0,1,2022-03-08,0,32303,54,1/5/2022,35,0,2,0,0,2,39,44628,en línea,,5
3934,1966,Grado o superior,Casado,0,1,2021-08-02,0,61286,58,19/9/2022,356,0,107,19,9,117,608,44410,en línea,,15
6982,1976,Grado o superior,Casado,0,0,2021-03-19,0,74068,48,19/8/2022,783,30,537,140,76,15,1581,44274,en línea,,13
6431,1964,Posgrado,Casado,1,1,2021-02-23,0,45759,60,9/12/2021,42,1,18,3,0,4,68,44250,en línea,,5
9733,1978,Secundaria,Unión de hecho,1,0,2020-09-09,0,24882,46,30/11/2020,1,4,10,29,0,36,80,44083,en línea,,3
5602,1989,Posgrado,Unión de hecho,0,0,2021-05-17,0,66973,35,26/9/2022,466,22,432,147,113,102,1282,44333,en línea,,20
7829,1900,Secundaria,Divorciado,1,0,2021-09-26,0,36640,124,16/4/2022,15,6,8,7,4,25,65,44465,en línea,,4
1324,1988,Grado o superior,Casado,1,0,2021-05-30,0,38872,36,1/8/2022,23,3,21,3,19,22,91,44346,en línea,,6
326,1973,Grado o superior,Casado,1,1,2021-02-18,0,51148,51,25/5/2022,235,6,45,8,9,12,315,44245,en línea,,11
7224,1977,Grado o superior,Casado,1,1,2021-12-29,0,31353,47,1/2/2022,10,0,10,3,1,7,31,44559,en línea,,3
6999,1980,Posgrado,Casado,0,0,2022-05-13,0,69661,44,31/12/2022,656,16,106,32,16,8,834,44694,en línea,,19
9938,1954,Grado o superior,Casado,0,0,2021-09-19,0,80067,70,19/6/2022,519,17,813,27,173,51,1600,44458,en línea,,10
6422,1954,Grado o superior,Casado,0,0,2021-01-17,0,86718,70,13/7/2022,344,189,482,50,33,172,1270,44213,en línea,,10
3182,1973,Posgrado,Soltero,1,1,2022-03-31,1,46854,51,2/12/2022,96,1,79,7,1,79,263,44651,en línea,,8
7300,1952,Grado o superior,Divorciado,0,1,2022-06-29,0,69142,72,22/11/2022,448,4,34,6,4,39,535,44741,en línea,,15
10424,1968,Grado o superior,Soltero,0,0,2021-12-09,0,75922,56,15/12/2022,265,138,553,224,23,92,1295,44539,en línea,,13
8727,1978,Grado o superior,Divorciado,0,1,2021-10-14,0,63693,46,12/10/2022,587,43,337,42,87,54,1150,44483,en línea,,20
2798,1977,Posgrado,Unión de hecho,0,0,2020-11-02,1,102160,47,2/8/2022,763,29,138,76,176,58,1240,44137,en línea,,17
